epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50573,0.92279,3.16791,1.36173,0.00538,1,0.50816,0.42603,0.45353,3.18514,1.0861,0,0,0
2,11.6074,0.87827,3.24045,1.31997,0.00538,1,0.51015,0.43375,0.41652,3.17596,1.04509,1.50197e-05,1.50197e-05,1.50197e-05
3,16.5253,0.88377,3.20868,1.32738,0.00529,1,0.56316,0.48375,0.37604,3.14859,1.0061,2.67387e-05,2.67387e-05,2.67387e-05
4,21.6568,0.65655,3.11753,1.15526,0.00522,1,0.63964,0.5441,0.32223,3.13535,0.93999,3.5157e-05,3.5157e-05,3.5157e-05
5,28.3302,0.59708,3.08115,1.08171,0.00514,1,0.55221,0.52009,0.26594,3.12884,0.85941,4.02747e-05,4.02747e-05,4.02747e-05
6,34.5482,0.4673,3.0089,0.97248,0.00505,1,0.58306,0.58306,0.22478,3.12778,0.82742,4.20917e-05,4.20917e-05,4.20917e-05
7,40.4391,0.35665,2.88029,0.99699,0.00504,1,0.61464,0.61464,0.19473,3.11504,0.79923,4.06081e-05,4.06081e-05,4.06081e-05
8,45.3895,0.29612,2.77629,0.93993,0.00499,1,0.63833,0.62333,0.18272,3.11083,0.78808,3.58238e-05,3.58238e-05,3.58238e-05
9,50.473,0.29904,2.75512,0.91524,0.00499,1,0.63833,0.62333,0.18272,3.11083,0.78808,2.77389e-05,2.77389e-05,2.77389e-05
10,55.6835,0.31877,2.87771,0.94771,0.00495,1,0.63833,0.62333,0.18354,3.11041,0.78637,1.63533e-05,1.63533e-05,1.63533e-05
