epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.77043,1.29968,3.16111,1.68945,0.00681,1,0.57825,0.5173,0.49229,3.04612,1.10513,0,0,0
2,6.88782,0.90807,3.07896,1.20862,0.00681,1,0.49492,0.4423,0.47515,3.03776,1.05832,1.50197e-05,1.50197e-05,1.50197e-05
3,9.72552,1.2194,3.16289,1.56324,0.00674,1,0.60104,0.56569,0.4458,3.02004,1.00918,2.67387e-05,2.67387e-05,2.67387e-05
4,12.59,0.875,3.05209,1.31837,0.00671,1,0.60104,0.56569,0.39852,2.9967,0.91441,3.5157e-05,3.5157e-05,3.5157e-05
5,15.5459,0.82773,3.04282,1.37081,0.00671,1,0.58042,0.54713,0.33193,2.99407,0.86575,4.02747e-05,4.02747e-05,4.02747e-05
6,18.6817,0.64661,2.83793,1.14403,0.00669,1,0.60806,0.572,0.27608,2.98592,0.80845,4.20917e-05,4.20917e-05,4.20917e-05
7,21.7919,0.42525,2.78937,0.98127,0.00667,1,0.63964,0.62955,0.22545,2.98073,0.78366,4.06081e-05,4.06081e-05,4.06081e-05
8,25.4164,0.38683,2.8089,0.91483,0.00667,1,0.66333,0.66333,0.19761,2.97869,0.77535,3.58238e-05,3.58238e-05,3.58238e-05
9,28.1878,0.40675,2.7911,1.10805,0.00667,1,0.66333,0.66333,0.19761,2.97869,0.77535,2.77389e-05,2.77389e-05,2.77389e-05
10,30.8716,0.37916,2.73544,0.95834,0.00667,1,0.66333,0.66333,0.19681,2.97527,0.77272,1.63533e-05,1.63533e-05,1.63533e-05
